record_id,year,month,month_name,quarter,fiscal_period,facility_id,facility_name,country,region,policy_area,board_independence_pct,policy_compliance_pct,total_audit_findings,resolved_findings,open_findings,avg_resolution_days,whistleblower_per_1k,data_breach_incidents,regulatory_fines_usd,compliance_training_pct,board_status,compliance_status,resolution_status,fine_flag
GOV-0000001,2022,1,January,Q1,2022-01-01,FAC-001,Chicago Main Plant,USA,North America,Anti-Corruption,42.83,82.93,2,1,1,50.9,3.53,0,0.0,77.6,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000002,2022,1,January,Q1,2022-01-01,FAC-001,Chicago Main Plant,USA,North America,Data Privacy,42.98,79.43,4,2,2,47.8,3.5,0,0.0,77.99,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000003,2022,1,January,Q1,2022-01-01,FAC-001,Chicago Main Plant,USA,North America,Environmental,47.59,82.42,3,2,1,46.6,3.32,0,0.0,78.32,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000004,2022,1,January,Q1,2022-01-01,FAC-001,Chicago Main Plant,USA,North America,Health & Safety,46.55,82.25,3,2,1,46.7,3.59,0,0.0,77.88,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000005,2022,1,January,Q1,2022-01-01,FAC-001,Chicago Main Plant,USA,North America,Human Rights,45.86,82.83,3,2,1,50.7,3.41,0,85476.55,75.94,Below Target,Non-Compliant,Significantly Delayed,True
GOV-0000006,2022,1,January,Q1,2022-01-01,FAC-001,Chicago Main Plant,USA,North America,Whistleblower,44.93,83.29,4,3,1,49.6,3.29,0,0.0,76.99,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000007,2022,1,January,Q1,2022-01-01,FAC-001,Chicago Main Plant,USA,North America,Code of Conduct,47.49,84.62,1,0,1,47.8,3.26,0,0.0,77.35,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000008,2022,1,January,Q1,2022-01-01,FAC-001,Chicago Main Plant,USA,North America,Conflict of Interest,49.36,81.71,2,1,1,49.9,3.65,0,0.0,74.75,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000009,2022,1,January,Q1,2022-01-01,FAC-001,Chicago Main Plant,USA,North America,Supplier Standards,46.03,80.32,4,3,1,42.7,3.33,0,0.0,73.37,Below Target,Non-Compliant,Slightly Delayed,False
GOV-0000010,2022,1,January,Q1,2022-01-01,FAC-001,Chicago Main Plant,USA,North America,Information Security,46.52,83.81,5,4,1,48.5,3.3,0,0.0,77.33,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000011,2022,1,January,Q1,2022-01-01,FAC-002,Detroit Assembly,USA,North America,Anti-Corruption,46.62,81.47,2,1,1,45.3,3.41,0,0.0,78.15,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000012,2022,1,January,Q1,2022-01-01,FAC-002,Detroit Assembly,USA,North America,Data Privacy,46.81,82.31,5,3,2,41.7,4.04,0,0.0,74.66,Below Target,Non-Compliant,Slightly Delayed,False
GOV-0000013,2022,1,January,Q1,2022-01-01,FAC-002,Detroit Assembly,USA,North America,Environmental,44.82,79.64,0,0,0,53.7,3.53,0,0.0,74.01,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000014,2022,1,January,Q1,2022-01-01,FAC-002,Detroit Assembly,USA,North America,Health & Safety,46.45,80.85,0,0,0,46.9,3.31,0,0.0,76.21,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000015,2022,1,January,Q1,2022-01-01,FAC-002,Detroit Assembly,USA,North America,Human Rights,45.6,80.49,1,0,1,48.9,3.47,0,0.0,75.2,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000016,2022,1,January,Q1,2022-01-01,FAC-002,Detroit Assembly,USA,North America,Whistleblower,45.49,83.18,2,1,1,50.5,3.42,0,0.0,78.86,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000017,2022,1,January,Q1,2022-01-01,FAC-002,Detroit Assembly,USA,North America,Code of Conduct,48.06,82.72,1,0,1,50.0,3.44,0,0.0,78.17,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000018,2022,1,January,Q1,2022-01-01,FAC-002,Detroit Assembly,USA,North America,Conflict of Interest,45.0,79.09,2,1,1,53.3,3.61,0,0.0,77.02,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000019,2022,1,January,Q1,2022-01-01,FAC-002,Detroit Assembly,USA,North America,Supplier Standards,47.36,81.25,5,3,2,51.0,3.49,0,0.0,74.59,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000020,2022,1,January,Q1,2022-01-01,FAC-002,Detroit Assembly,USA,North America,Information Security,47.84,84.18,0,0,0,49.0,3.03,0,0.0,76.96,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000021,2022,1,January,Q1,2022-01-01,FAC-003,Toronto Operations,Canada,North America,Anti-Corruption,47.29,81.24,2,1,1,47.8,3.12,0,0.0,74.97,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000022,2022,1,January,Q1,2022-01-01,FAC-003,Toronto Operations,Canada,North America,Data Privacy,46.48,82.57,2,1,1,43.0,3.26,0,0.0,78.71,Below Target,Non-Compliant,Slightly Delayed,False
GOV-0000023,2022,1,January,Q1,2022-01-01,FAC-003,Toronto Operations,Canada,North America,Environmental,44.5,82.86,0,0,0,50.2,3.51,0,0.0,75.47,Below Target,Non-Compliant,Significantly Delayed,False
GOV-0000024,2022,1,January,Q1,2022-01-01,FAC-003,Toronto Operations,Canada,North America,Health & Safety,45.83,82.73,0,0,0,50.2,3.52,0,0.0,75.62,Below Target,Non-Compliant,Significantly Delayed,False
