record_id,year,month,month_name,quarter,fiscal_period,facility_id,facility_name,country,region,facility_size,facility_employees,meter_type,scope,consumption,unit,emissions_tco2e,improvement_factor
ENV-0000001,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Natural Gas,Scope 1,475.644,GJ,0.9608,1.0
ENV-0000002,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Natural Gas,Scope 1,292.693,GJ,0.5912,1.0
ENV-0000003,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Natural Gas,Scope 1,196.464,GJ,0.3969,1.0
ENV-0000004,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Natural Gas,Scope 1,858.113,GJ,1.7334,1.0
ENV-0000005,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Natural Gas,Scope 1,153.897,GJ,0.3109,1.0
ENV-0000006,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Natural Gas,Scope 1,307.972,GJ,0.6221,1.0
ENV-0000007,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Diesel,Scope 1,1829.087,litres,4.902,1.0
ENV-0000008,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Diesel,Scope 1,2081.419,litres,5.5782,1.0
ENV-0000009,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Diesel,Scope 1,3524.841,litres,9.4466,1.0
ENV-0000010,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Diesel,Scope 1,2295.518,litres,6.152,1.0
ENV-0000011,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Diesel,Scope 1,2740.638,litres,7.3449,1.0
ENV-0000012,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Diesel,Scope 1,3187.454,litres,8.5424,1.0
ENV-0000013,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Diesel,Scope 1,3513.688,litres,9.4167,1.0
ENV-0000014,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Diesel,Scope 1,1367.808,litres,3.6657,1.0
ENV-0000015,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Diesel,Scope 1,852.336,litres,2.2843,1.0
ENV-0000016,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Diesel,Scope 1,1079.962,litres,2.8943,1.0
ENV-0000017,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Grid Electricity,Scope 2,1707.426,MWh,0.7683,1.0
ENV-0000018,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Grid Electricity,Scope 2,1359.72,MWh,0.6119,1.0
ENV-0000019,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Grid Electricity,Scope 2,348.419,MWh,0.1568,1.0
ENV-0000020,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Grid Electricity,Scope 2,1768.285,MWh,0.7957,1.0
ENV-0000021,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Grid Electricity,Scope 2,1080.737,MWh,0.4863,1.0
ENV-0000022,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Grid Electricity,Scope 2,719.665,MWh,0.3238,1.0
ENV-0000023,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Grid Electricity,Scope 2,2439.817,MWh,1.0979,1.0
ENV-0000024,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Renewable Energy,Scope 2,797.053,MWh,0.008,1.0
ENV-0000025,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Renewable Energy,Scope 2,118.165,MWh,0.0012,1.0
ENV-0000026,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Renewable Energy,Scope 2,246.663,MWh,0.0025,1.0
ENV-0000027,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Renewable Energy,Scope 2,654.917,MWh,0.0065,1.0
ENV-0000028,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Renewable Energy,Scope 2,456.425,MWh,0.0046,1.0
ENV-0000029,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Renewable Energy,Scope 2,168.26,MWh,0.0017,1.0
ENV-0000030,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Renewable Energy,Scope 2,642.452,MWh,0.0064,1.0
ENV-0000031,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Renewable Energy,Scope 2,645.372,MWh,0.0065,1.0
ENV-0000032,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Renewable Energy,Scope 2,140.82,MWh,0.0014,1.0
ENV-0000033,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Renewable Energy,Scope 2,674.85,MWh,0.0067,1.0
ENV-0000034,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Renewable Energy,Scope 2,109.305,MWh,0.0011,1.0
ENV-0000035,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Water,N/A,4608.958,m3,0.0,1.0
ENV-0000036,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Water,N/A,7244.396,m3,0.0,1.0
ENV-0000037,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Water,N/A,9501.479,m3,0.0,1.0
ENV-0000038,2022,1,January,Q1,2022-01,FAC-001,Chicago Main Plant,USA,North America,Large,1200,Water,N/A,8242.688,m3,0.0,1.0
