record_id,year,employee_id,facility_id,facility_name,country,region,department,gender,ethnicity,job_level,is_leadership,current_salary,training_hours,had_injury,left_company,parental_leave_taken
WF-0000001,2022,EMP-00001,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,White,Senior,False,77479.86,25.0,False,False,False
WF-0000002,2022,EMP-00002,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,White,Senior,False,82767.62,28.1,False,False,False
WF-0000003,2022,EMP-00003,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Asian,Mid-Level,False,55809.63,24.1,False,False,False
WF-0000004,2022,EMP-00004,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Senior,False,102070.25,30.7,False,False,False
WF-0000005,2022,EMP-00005,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,White,Senior,False,81674.47,22.5,False,False,False
WF-0000006,2022,EMP-00006,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,Hispanic,Mid-Level,False,51125.39,23.8,False,False,False
WF-0000007,2022,EMP-00007,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,C-Suite,True,595243.35,30.4,False,False,False
WF-0000008,2022,EMP-00008,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,White,Mid-Level,False,65930.26,22.6,False,False,False
WF-0000009,2022,EMP-00009,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Junior,False,51581.07,25.5,False,True,False
WF-0000010,2022,EMP-00010,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Junior,False,41453.22,24.9,False,False,True
WF-0000011,2022,EMP-00011,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,White,Senior,False,93003.97,26.1,False,False,False
WF-0000012,2022,EMP-00012,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,Asian,Manager,True,111141.45,26.5,False,True,False
WF-0000013,2022,EMP-00013,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,Asian,Senior,False,91091.91,25.5,False,False,False
WF-0000014,2022,EMP-00014,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Asian,Mid-Level,False,73354.99,27.5,False,False,False
WF-0000015,2022,EMP-00015,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Mid-Level,False,56265.13,28.8,False,False,False
WF-0000016,2022,EMP-00016,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Asian,Mid-Level,False,67456.64,24.8,False,False,False
WF-0000017,2022,EMP-00017,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Senior,False,97925.56,22.4,False,False,False
WF-0000018,2022,EMP-00018,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Black,Senior,False,92017.45,24.7,False,False,False
WF-0000019,2022,EMP-00019,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Asian,Manager,True,103867.26,26.6,False,False,False
WF-0000020,2022,EMP-00020,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,White,Mid-Level,False,49790.49,26.3,False,False,False
WF-0000021,2022,EMP-00021,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,White,Mid-Level,False,67069.29,27.8,False,False,False
WF-0000022,2022,EMP-00022,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Asian,VP,True,256950.83,29.7,False,False,False
WF-0000023,2022,EMP-00023,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Non-Binary,Asian,Junior,False,32489.16,26.4,False,False,False
WF-0000024,2022,EMP-00024,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,White,Junior,False,37792.77,25.2,False,False,False
WF-0000025,2022,EMP-00025,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,White,Senior,False,82892.19,24.5,False,False,False
WF-0000026,2022,EMP-00026,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,Asian,Senior,False,74947.87,25.6,False,False,False
WF-0000027,2022,EMP-00027,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,White,Mid-Level,False,68276.08,27.7,True,False,False
WF-0000028,2022,EMP-00028,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,Hispanic,Mid-Level,False,64840.75,24.8,False,False,False
WF-0000029,2022,EMP-00029,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,White,Senior,False,91412.43,27.2,False,False,False
WF-0000030,2022,EMP-00030,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,White,VP,True,238396.46,23.8,False,False,False
WF-0000031,2022,EMP-00031,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,Black,Junior,False,39178.03,26.0,False,False,False
WF-0000032,2022,EMP-00032,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Non-Binary,White,Mid-Level,False,76560.69,22.9,False,False,False
WF-0000033,2022,EMP-00033,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Asian,Mid-Level,False,58355.0,24.9,True,False,True
WF-0000034,2022,EMP-00034,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Senior,False,102718.48,29.0,False,False,False
WF-0000035,2022,EMP-00035,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Junior,False,54633.7,26.5,False,False,False
WF-0000036,2022,EMP-00036,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Asian,Junior,False,48073.67,25.7,False,False,False
WF-0000037,2022,EMP-00037,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,Asian,Senior,False,75240.4,26.5,False,False,True
WF-0000038,2022,EMP-00038,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Mid-Level,False,60460.29,27.0,False,False,False
WF-0000039,2022,EMP-00039,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Black,Junior,False,51575.48,26.6,False,True,False
WF-0000040,2022,EMP-00040,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Asian,Junior,False,45207.51,26.5,False,True,False
WF-0000041,2022,EMP-00041,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Mid-Level,False,60447.53,24.0,False,True,False
WF-0000042,2022,EMP-00042,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Non-Binary,White,Mid-Level,False,53736.37,23.0,False,False,False
WF-0000043,2022,EMP-00043,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Asian,Senior,False,90433.1,27.5,True,False,False
WF-0000044,2022,EMP-00044,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,Hispanic,VP,True,215580.39,23.4,False,True,True
WF-0000045,2022,EMP-00045,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,White,Senior,False,96789.54,26.7,False,False,False
WF-0000046,2022,EMP-00046,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Hispanic,Mid-Level,False,60431.73,28.0,True,False,False
WF-0000047,2022,EMP-00047,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Asian,Manager,True,139427.82,23.9,False,False,False
WF-0000048,2022,EMP-00048,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Female,Black,Director,True,169267.92,24.7,False,False,False
WF-0000049,2022,EMP-00049,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,White,Junior,False,45758.57,25.7,False,False,True
WF-0000050,2022,EMP-00050,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Non-Binary,Asian,Junior,False,35757.6,24.2,False,True,False
WF-0000051,2022,EMP-00051,FAC-001,Chicago Main Plant,USA,North America,Manufacturing,Male,Asian,Junior,False,36455.69,24.2,False,False,False
