record_id,year,audit_number,supplier_id,supplier_name,category,country,annual_spend_usd,risk_profile,is_critical,audit_score,labor_compliance_pct,env_compliance_pct,safety_compliance_pct,non_conformances,audit_result,corrective_action
SUP-000001,2022,1,SUP-0001,"Rodriguez, Figueroa and Sanchez",Facilities Management,India,2820150.75,High Risk,False,45.5,44.15,45.71,45.42,8,Failed,True
SUP-000002,2022,1,SUP-0002,Doyle Ltd,Professional Services,China,2386195.61,Low Risk,True,87.93,81.87,86.82,77.81,2,Approved,True
SUP-000003,2022,2,SUP-0002,Doyle Ltd,Professional Services,China,2386195.61,Low Risk,True,79.92,82.47,66.73,75.87,3,Conditional Approval,True
SUP-000004,2022,3,SUP-0002,Doyle Ltd,Professional Services,China,2386195.61,Low Risk,True,87.69,82.89,87.11,85.92,2,Approved,True
SUP-000005,2022,4,SUP-0002,Doyle Ltd,Professional Services,China,2386195.61,Low Risk,True,79.1,68.73,79.09,77.25,1,Conditional Approval,True
SUP-000006,2022,1,SUP-0003,"Mcclain, Miller and Henderson",Professional Services,India,1309435.92,High Risk,False,54.12,53.14,53.31,55.61,3,Requires Improvement,True
SUP-000007,2022,1,SUP-0004,Davis and Sons,Raw Materials,USA,4453846.45,Medium Risk,False,57.91,58.87,59.42,58.82,5,Requires Improvement,True
SUP-000008,2022,1,SUP-0005,"Guzman, Hoffman and Baldwin",Logistics,South Korea,4612837.62,Medium Risk,True,62.16,54.53,52.69,65.84,1,Requires Improvement,True
SUP-000009,2022,2,SUP-0005,"Guzman, Hoffman and Baldwin",Logistics,South Korea,4612837.62,Medium Risk,True,74.35,75.91,67.46,75.74,4,Conditional Approval,True
SUP-000010,2022,1,SUP-0006,"Gardner, Robinson and Lawrence",IT Services,China,1116465.58,Medium Risk,False,74.86,76.22,66.29,75.25,4,Conditional Approval,True
SUP-000011,2022,1,SUP-0007,Blake and Sons,Components,China,592914.11,Medium Risk,True,62.5,56.75,57.75,58.52,2,Requires Improvement,True
SUP-000012,2022,2,SUP-0007,Blake and Sons,Components,China,592914.11,Medium Risk,True,58.06,54.34,52.98,54.97,8,Requires Improvement,True
SUP-000013,2022,3,SUP-0007,Blake and Sons,Components,China,592914.11,Medium Risk,True,56.56,49.65,47.32,55.97,5,Requires Improvement,True
SUP-000014,2022,4,SUP-0007,Blake and Sons,Components,China,592914.11,Medium Risk,True,77.15,75.43,75.85,75.26,4,Conditional Approval,True
SUP-000015,2022,1,SUP-0008,"Henderson, Ramirez and Lewis",Facilities Management,Taiwan,1247842.57,Medium Risk,True,62.66,59.47,65.58,59.41,1,Requires Improvement,True
SUP-000016,2022,2,SUP-0008,"Henderson, Ramirez and Lewis",Facilities Management,Taiwan,1247842.57,Medium Risk,True,67.37,60.36,58.17,64.97,3,Conditional Approval,True
SUP-000017,2022,3,SUP-0008,"Henderson, Ramirez and Lewis",Facilities Management,Taiwan,1247842.57,Medium Risk,True,61.11,59.73,57.55,59.93,3,Requires Improvement,True
SUP-000018,2022,4,SUP-0008,"Henderson, Ramirez and Lewis",Facilities Management,Taiwan,1247842.57,Medium Risk,True,63.8,59.77,58.79,54.47,2,Requires Improvement,True
SUP-000019,2022,1,SUP-0009,Garcia-James,IT Services,India,1252681.84,Low Risk,False,84.92,77.92,78.74,81.58,2,Conditional Approval,True
SUP-000020,2022,1,SUP-0010,Abbott-Munoz,Professional Services,USA,3259829.29,Medium Risk,False,68.52,69.84,73.28,62.54,1,Conditional Approval,True
SUP-000021,2022,2,SUP-0010,Abbott-Munoz,Professional Services,USA,3259829.29,Medium Risk,False,59.98,58.56,50.27,56.3,4,Requires Improvement,True
SUP-000022,2022,1,SUP-0011,Blair PLC,Components,China,1926972.96,Low Risk,True,89.23,91.67,87.74,86.21,2,Approved,True
SUP-000023,2022,2,SUP-0011,Blair PLC,Components,China,1926972.96,Low Risk,True,87.64,91.78,91.31,80.76,2,Approved,True
SUP-000024,2022,1,SUP-0012,Dudley Group,Components,China,2075890.25,Low Risk,True,75.79,73.27,78.04,70.86,2,Conditional Approval,True
SUP-000025,2022,2,SUP-0012,Dudley Group,Components,China,2075890.25,Low Risk,True,88.01,82.36,89.06,88.97,0,Approved,False
SUP-000026,2022,1,SUP-0013,Arnold Ltd,Facilities Management,China,4043467.89,Medium Risk,False,73.72,76.68,71.63,73.51,1,Conditional Approval,True
SUP-000027,2022,2,SUP-0013,Arnold Ltd,Facilities Management,China,4043467.89,Medium Risk,False,59.96,58.88,53.77,61.64,3,Requires Improvement,True
SUP-000028,2022,1,SUP-0014,"Mcclure, Ward and Lee",Packaging,Vietnam,2728496.22,Low Risk,True,87.7,88.17,78.7,82.51,1,Approved,True
SUP-000029,2022,2,SUP-0014,"Mcclure, Ward and Lee",Packaging,Vietnam,2728496.22,Low Risk,True,83.27,85.78,75.09,74.91,2,Conditional Approval,True
SUP-000030,2022,3,SUP-0014,"Mcclure, Ward and Lee",Packaging,Vietnam,2728496.22,Low Risk,True,83.22,76.21,88.2,73.23,1,Conditional Approval,True
SUP-000031,2022,4,SUP-0014,"Mcclure, Ward and Lee",Packaging,Vietnam,2728496.22,Low Risk,True,91.88,82.04,94.58,86.96,2,Approved,True
SUP-000032,2022,1,SUP-0015,Williams and Sons,Raw Materials,India,4138475.4,High Risk,False,60.1,60.66,53.34,55.99,2,Requires Improvement,True
SUP-000033,2022,2,SUP-0015,Williams and Sons,Raw Materials,India,4138475.4,High Risk,False,46.67,42.59,44.97,47.55,3,Failed,True
SUP-000034,2022,1,SUP-0016,Galloway-Wyatt,Professional Services,USA,556217.87,Medium Risk,False,76.09,69.63,74.44,76.84,3,Conditional Approval,True
SUP-000035,2022,1,SUP-0017,James Group,Raw Materials,China,2122124.28,Low Risk,False,75.36,79.16,76.77,74.81,3,Conditional Approval,True
SUP-000036,2022,1,SUP-0018,"Flowers, Martin and Kelly",Professional Services,India,4689048.93,High Risk,False,68.22,68.63,77.48,70.4,3,Conditional Approval,True
SUP-000037,2022,1,SUP-0019,"Adams, Zuniga and Wong",Facilities Management,Taiwan,273255.23,Medium Risk,False,65.63,60.46,65.82,66.63,3,Conditional Approval,True
